"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","num_collisions","slp","visib","wdsp","gust","prcp","sndp","fog"
"40",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,36.3,25.8,373,1030.5,10,4.8,999.9,0,999.9,0
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,43.5,34.7,572,1023.4,8.6,5.2,15.9,0.02,999.9,0
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,44.9,42.9,458,1013.4,4.8,2.7,15,0.37,999.9,0
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,42.8,25.2,438,1018.4,10,5.4,22,0.14,999.9,0
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,40.1,35.9,504,1010.6,5.2,3.3,999.9,0.36,999.9,0
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,33.8,15.4,632,1020.7,10,6.9,20,0.16,999.9,0
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,21.6,2.5,440,1035.1,10,4.2,19,0,999.9,0
"47",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,34.6,20.7,387,1023.2,10,5.3,19,0,999.9,0
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,43.8,22.7,339,1022.2,10,3.4,999.9,0,999.9,0
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,41.9,30.2,428,1024.8,9.1,6.4,18.1,0,999.9,0
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,44,25.5,477,1020.5,8.5,6.2,22,0,999.9,0
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,32.6,10.9,448,1029.7,10,5.2,18.1,0,999.9,0
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,27.7,3.4,504,1031,10,4.3,18.1,0,999.9,0
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,37.4,6.4,407,1024.7,10,5.7,17.1,0,999.9,0
"54",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,46.5,9.4,392,1021.6,10,3.8,15.9,0,999.9,0
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,50,21.2,493,1017.2,9.9,3.5,999.9,0,999.9,0
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,49.2,39.9,527,1012.2,8.2,2.7,999.9,0,999.9,0
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,46.3,44,449,1012.3,5,5.1,999.9,0.14,999.9,0
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,41.5,30.3,581,1001.2,8,10.6,36.9,0.4,999.9,0
"59",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,33.8,10,530,1009.6,10,9.3,28,0,999.9,0
"60",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,32.2,7.8,456,1010.9,10,7.5,24.1,0,999.9,0
"61",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,32,10.1,423,1019,10,6.5,20,0,999.9,0
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,46.6,25.3,562,1016.4,10,4.8,20,0,999.9,0
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,53.9,42.3,550,1006.8,8.9,5.1,17.1,0.01,999.9,0
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,50.7,31.5,540,1005.3,9.3,8.8,28,0.25,999.9,0
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,45.7,26.1,529,1016.9,10,5.2,18.1,0,999.9,0
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020,41.8,34.1,673,1013.8,8.7,6,20,0,999.9,0
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020,40.2,21.9,515,1018.9,10,6.8,22,0.37,999.9,0
"68",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,44.4,13.6,408,1029.2,10,5.7,19,0,999.9,0
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,57.2,22.3,546,1026.6,10,6.7,24.1,0,999.9,0
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,60.7,36.9,450,1019.2,10,6.4,21,0,999.9,0
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,52.8,32.6,473,1017.6,10,5.1,22,0,999.9,0
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,46.9,31.3,456,1020,10,3.5,999.9,0,999.9,0
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020,54,43.3,551,1011.9,6.9,7.3,26,0.18,999.9,0
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020,49.8,19.5,371,1023.5,10,6.6,22.9,0.11,999.9,0
"75",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,47,20.9,331,1029.6,10,5.2,15,0,999.9,0
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,40.1,15.3,378,1034.2,10,7.6,18.1,0,999.9,0
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,45.1,37.2,374,1023.7,9.3,4.3,19,0.09,999.9,0
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,47.9,28,298,1029,10,3.5,15.9,0.07,999.9,0
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,46.1,39,339,1025.6,7.3,4.4,18.1,0.9,999.9,0
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020,56,48.3,306,1015.6,7.9,4,24.1,0.03,999.9,0
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020,52.8,27.8,238,1021.5,10,7.4,24.1,0,999.9,0
"82",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,39.2,13,139,1035.1,10,8.5,21,0,999.9,0
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,37.8,30.5,225,1031,6.3,8.2,20,0.01,999.9,0
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,42.9,32.5,201,1018.5,10,5.8,18.1,1.15,999.9,0
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,42.8,33.3,168,1019.1,10,8.4,24.1,0,999.9,0
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,45.6,31.4,187,1016,10,4.3,18.1,0.01,999.9,0
"87",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020,57,35.8,195,1009.9,10,4.3,15.9,0,999.9,0
"88",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020,49.8,31.3,183,1018.5,9,5.2,15,0,999.9,0
"89",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,45.2,43.7,146,1013,3,10.6,25.1,0.47,999.9,0
"90",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,46.2,41.7,164,1013,9.3,4.9,18.1,0.03,999.9,0
"91",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,44.4,37.1,158,1015.9,9.3,5.2,17.1,0.1,999.9,0
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,45.8,28.8,155,1009.7,10,7.2,17.1,0.06,999.9,0
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,48,26.1,166,1005.8,10,7.2,27,0,999.9,0
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,49.3,36.1,191,1003.9,9.5,7.4,22.9,0.01,999.9,0
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,52.1,40.9,156,1014,9.1,5.2,21,0.13,999.9,0
"96",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,53.1,43.1,94,1016.5,10,1.8,999.9,0.01,999.9,0
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,55.8,36,127,1015.5,9.6,4.8,999.9,0.07,999.9,0
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,57.6,24.8,129,1012.8,10,3.8,18.1,0,999.9,0
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,57.5,45.9,125,1002.1,8.1,3.9,999.9,0.2,999.9,0
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,51.6,42.1,103,997.5,9.7,6.1,33,0.12,999.9,0
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,44,25.7,115,995.8,10,8,32.1,0.01,999.9,0
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,45.7,19.7,121,1010.5,10,8.8,22,0,999.9,0
"103",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,52.9,27.6,106,1019.8,10,4.5,19,0,999.9,0
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,57.3,53.4,138,1011.8,4.8,6.6,33,0.65,999.9,0
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,54.1,32,135,1014.8,10,5.7,21,1.27,999.9,0
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,47.7,23.4,139,1014.3,10,5.6,21,0,999.9,0
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,45.4,18,138,1017.1,10,7.4,25.1,0,999.9,0
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,42.1,21.3,158,1023.3,10,5.6,20,0,999.9,0
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,43.6,38.4,125,1010.1,7.1,4.5,17.1,0.19,999.9,0
"110",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,49.5,27.7,102,1011.5,10,6,22,0.1,999.9,0
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,53.2,30.5,140,1004.6,10,4.7,15.9,0,999.9,0
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,51.2,36.8,121,1001.8,9.3,5.1,31.1,0,999.9,0
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,42.7,16.1,148,1009.4,10,8.3,26,0.18,999.9,0
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,44.5,18.7,108,1017,10,2.9,999.9,0,999.9,0
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,45.4,41.3,172,1008.9,6.1,7.4,24.1,0.39,999.9,0
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,52.1,40,152,1015.7,10,2.3,17.1,0.22,999.9,0
"117",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,48.3,39.7,140,1015,7.7,7.6,35,0,999.9,0
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,43.9,37.1,131,1011.3,9.4,6.7,20,0.22,999.9,0
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,50.8,32.3,185,1019,10,3.8,15.9,0,999.9,0
"120",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,51.1,42.8,137,1022.1,9.8,4.5,18.1,0,999.9,0
