Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Fri,Mon,Sat,Sun,Thu,Tue,Wed,year,temp,dewp,num_collisions,slp,visib,wdsp,gust,prcp,sndp,fog
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,28.8,21.0,403,1013.9,3.4,8.0,25.1,1.52,0.0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,25.2,8.5,400,1028.7,10.0,3.4,15.9,0.38,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,38.5,32.4,475,1019.6,5.6,3.2,0.0,0.09,9.8,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,41.9,28.8,498,1009.8,8.8,7.2,22.0,0.4,9.1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,38.2,22.5,570,1011.2,9.9,3.0,15.0,0.0,3.9,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,38.2,26.7,631,1011.6,8.9,3.8,0.0,0.03,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,43.0,30.7,604,1015.0,7.8,4.9,15.9,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,37.9,28.0,449,1012.8,9.6,5.6,19.0,0.02,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,29.0,6.6,447,1006.6,10.0,9.6,35.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,23.4,2.0,398,1019.7,10.0,8.2,28.9,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.2,22.4,477,1017.1,9.3,5.8,21.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,33.8,16.8,510,1009.1,10.0,9.9,28.9,0.15,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,28.0,9.8,498,1015.9,10.0,9.2,26.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,30.0,17.2,531,1026.7,10.0,6.4,21.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,38.0,34.3,521,1020.7,5.3,6.3,22.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,39.3,32.4,426,1009.3,8.1,7.1,24.1,0.27,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,37.5,22.7,490,1018.1,10.0,5.0,22.9,0.01,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.9,28.7,537,1023.4,9.4,5.0,15.9,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,40.2,36.8,550,1009.0,4.2,10.7,32.1,1.26,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,45.2,32.9,517,1002.1,9.8,3.9,15.0,0.44,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,40.0,27.4,603,1004.1,10.0,4.9,15.9,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,36.7,22.8,474,1007.3,10.0,5.9,15.9,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,32.6,18.7,502,1006.2,9.0,6.6,17.1,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,32.8,16.4,597,1008.3,10.0,8.6,22.9,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,37.9,20.6,527,1014.2,10.0,7.2,24.1,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,40.1,29.3,475,1013.1,10.0,10.9,40.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,36.7,28.2,535,1014.9,8.0,10.6,31.1,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,43.7,22.1,569,1023.2,10.0,5.9,18.1,0.4,2.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,41.8,28.6,415,1027.2,10.0,4.1,0.0,0.0,2.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,44.7,38.2,522,1023.9,9.5,5.5,20.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,50.3,47.3,547,1015.2,6.9,6.6,28.9,0.08,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,45.0,29.9,636,1010.4,10.0,5.8,19.0,0.71,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,35.6,13.6,557,1012.1,10.0,9.2,29.9,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,36.1,13.5,607,1011.9,10.0,7.3,26.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,37.3,24.1,521,1009.4,7.8,4.7,19.0,0.0,0.0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,33.0,20.0,426,1017.5,9.8,4.6,19.0,0.12,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,32.1,14.1,623,1026.9,8.6,7.5,21.0,0.0,0.0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,36.0,32.2,559,1010.2,6.5,8.8,28.9,0.81,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,38.5,18.9,540,1010.0,10.0,7.2,24.1,0.2,2.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,35.7,16.0,508,1007.2,9.8,4.8,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,34.0,13.9,604,1007.8,10.0,7.5,22.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,38.4,17.6,488,1011.0,10.0,8.3,22.9,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,39.1,18.2,451,1011.1,10.0,5.7,18.1,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,38.3,27.7,498,1003.1,8.9,6.5,28.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,42.2,27.3,425,1005.1,9.7,4.5,15.9,0.17,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,43.8,22.7,441,1011.8,10.0,4.8,14.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,43.3,27.8,549,1015.4,10.0,4.7,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,46.7,26.4,520,1019.3,10.0,5.7,21.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,48.0,24.5,513,1019.9,10.0,3.8,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,49.3,29.7,426,1017.0,9.7,4.6,21.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,49.3,40.8,479,1005.4,6.8,5.7,27.0,0.08,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,38.0,10.9,437,1014.3,10.0,8.5,26.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,38.4,9.5,532,1019.7,10.0,8.9,24.1,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,39.9,16.4,566,1025.2,10.0,6.1,25.1,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,49.0,22.3,582,1012.9,10.0,4.7,20.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,43.1,13.2,531,1021.4,10.0,6.2,26.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46.2,31.0,451,1022.9,10.0,5.8,22.9,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,59.0,40.8,582,1016.5,10.0,4.1,15.9,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,65.7,42.7,613,1014.3,9.3,4.3,21.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,65.1,45.9,580,1012.4,9.7,4.0,14.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,56.2,50.1,517,1013.4,7.4,4.8,20.0,0.49,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,44.2,38.8,649,1013.5,7.5,9.9,28.0,0.01,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,46.5,36.8,555,1010.6,9.7,3.9,17.1,0.63,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,52.3,30.4,472,1016.8,10.0,3.5,18.1,0.01,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,49.9,27.0,603,1025.8,10.0,5.5,14.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,53.9,43.9,564,1026.2,10.0,5.6,22.9,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,62.7,45.3,535,1021.7,9.9,5.3,18.1,0.02,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,55.3,39.9,553,1025.8,9.9,4.6,21.0,0.01,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,60.8,55.0,570,1012.8,7.9,6.1,21.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,55.5,38.0,532,1011.7,9.3,7.6,24.1,0.11,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46.0,20.5,471,1031.4,10.0,5.5,19.0,0.06,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,47.6,29.9,565,1036.3,10.0,6.8,22.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,45.4,34.5,513,1027.8,9.8,8.3,22.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,52.9,41.1,598,1016.1,9.4,4.5,15.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,56.1,31.5,583,1018.1,9.6,4.9,21.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,57.3,29.4,675,1026.7,10.0,2.5,0.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,57.8,27.8,517,1028.5,10.0,4.4,20.0,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,58.9,31.1,440,1025.2,10.0,3.5,18.1,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,55.0,44.0,598,1023.2,9.6,4.3,17.1,0.0,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,57.7,38.2,576,1024.9,10.0,4.8,0.0,0.04,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,57.0,32.7,576,1029.4,10.0,4.5,15.9,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,58.9,41.2,585,1030.2,10.0,2.3,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,56.6,37.9,686,1029.6,10.0,6.0,21.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,54.7,41.4,580,1026.5,10.0,4.9,18.1,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,52.1,38.7,515,1025.0,10.0,5.2,17.1,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,55.4,44.7,561,1023.6,9.5,3.6,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,60.9,50.8,592,1020.6,9.9,4.0,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,60.3,56.6,620,1017.7,6.3,4.5,0.0,1.28,0.0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,58.9,54.2,602,1014.3,6.4,2.9,0.0,1.76,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,66.9,54.0,698,1014.3,9.2,3.0,15.9,0.48,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,64.4,60.1,523,1009.5,5.8,3.3,0.0,0.18,0.0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,62.6,45.3,527,1005.9,9.4,5.4,24.1,0.92,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,51.7,26.7,577,1015.4,10.0,6.6,20.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,51.1,27.2,565,1018.8,10.0,4.3,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,58.0,39.9,532,1015.4,9.7,3.3,18.1,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,69.5,51.0,559,1007.8,9.9,3.3,20.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,66.4,40.2,742,1015.4,10.0,3.0,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,61.0,46.6,506,1024.6,10.0,2.2,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,57.3,53.4,544,1025.5,5.0,3.6,0.0,0.1,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,65.0,60.0,658,1018.4,4.2,2.0,0.0,0.51,0.0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,75.9,65.2,697,1013.3,7.6,3.6,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,71.0,63.4,570,1011.7,6.1,3.7,20.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,71.5,66.2,735,1011.2,6.4,3.9,19.0,0.0,0.0,1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,59.6,57.0,668,1008.6,6.3,4.5,18.1,1.91,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,48.1,41.7,514,1013.4,9.1,7.5,29.9,0.29,0.0,0
