"","Aug","Dec","Jul","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","num_collisions","slp","visib","gust","prcp","fog"
"54",1,0,0,0,0,0,1,0,0,0,0,0,0,2012,75.3,71.3,617,1011.6,7.6,23.9,0,1
"55",1,0,0,0,0,0,0,0,1,0,0,0,0,2012,75.7,65.2,474,1023.6,7.3,18.1,0.01,1
"56",1,0,0,0,0,0,0,0,1,0,0,0,0,2012,77.7,71.5,507,1010.2,7.8,28,1.1,0
"57",1,0,0,0,0,0,0,0,1,0,0,0,0,2012,77.9,71.7,568,1021.1,5.7,18.1,0,1
"58",1,0,0,0,0,0,0,0,1,0,0,0,0,2012,69.8,63.7,540,1011.3,8.4,999.9,0.01,0
"59",1,0,0,0,0,0,0,0,0,1,0,0,0,2012,68.7,55,467,1014.2,10,999.9,0.23,0
"60",1,0,0,0,0,0,0,0,0,1,0,0,0,2012,78.1,72.4,518,1019.7,5.8,22.9,0,1
"61",1,0,0,0,0,0,0,0,0,1,0,0,0,2012,77.8,65.4,505,1012.5,8.7,29.9,0.62,0
"62",1,0,0,0,0,0,0,0,0,1,0,0,0,2012,73.9,62.4,471,1025.2,10,15,0,0
"63",0,0,0,0,0,1,0,1,0,0,0,0,0,2012,73.8,65.1,373,1019.8,10,999.9,0,0
"64",0,0,0,0,0,1,0,1,0,0,0,0,0,2012,59,40.4,562,1020,10,20,0,0
"65",0,0,0,0,0,1,0,1,0,0,0,0,0,2012,65.4,49.1,637,1014.3,10,26,0.16,0
"66",0,0,0,0,0,1,0,1,0,0,0,0,0,2012,66.5,48,452,1018.3,10,999.9,0,0
"67",0,0,0,0,0,1,0,0,0,0,0,1,0,2012,70.6,64.8,556,1011.8,7.6,27,0.11,1
"68",0,0,0,0,0,1,0,0,0,0,0,1,0,2012,62,43.4,594,1021,10,15.9,0,0
"69",0,0,0,0,0,1,0,0,0,0,0,1,0,2012,62.8,41.8,521,1022.9,10,26,0,0
"70",0,0,0,0,0,1,0,0,0,0,0,1,0,2012,72.6,68.4,606,1016.8,8.8,999.9,0.02,0
"71",0,0,0,0,0,1,0,0,0,0,0,0,1,2012,75.2,71.5,601,1009.7,6.7,22.9,0.13,0
"72",0,0,0,0,0,1,0,0,0,0,0,0,1,2012,67.7,56.8,404,1018.7,10,999.9,0,0
"73",0,0,0,0,0,1,0,0,0,0,0,0,1,2012,68.5,49.7,651,1026.5,10,999.9,0,0
"74",0,0,0,0,0,1,0,0,0,0,0,0,1,2012,66.7,56.1,612,1015.2,7.6,27,0.68,0
"75",0,0,0,0,0,1,0,0,0,0,1,0,0,2012,61,48.3,522,1021.5,10,22.9,0.04,0
"76",0,0,0,0,0,1,0,0,0,0,1,0,0,2012,73.2,65.3,572,1011.3,9.7,999.9,0.59,0
"77",0,0,0,0,0,1,0,0,0,0,1,0,0,2012,69,60.4,620,1019.4,8.7,20,0.01,0
"78",0,0,0,0,0,1,0,0,0,0,1,0,0,2012,70.4,54.8,632,1027.4,10,999.9,0,0
"79",0,0,0,0,0,1,1,0,0,0,0,0,0,2012,70.5,57.7,609,1023.4,9.7,999.9,0,0
"80",0,0,0,0,0,1,1,0,0,0,0,0,0,2012,65.2,61.8,703,1019.8,5.9,22.9,0.25,1
"81",0,0,0,0,0,1,1,0,0,0,0,0,0,2012,64.7,53.7,654,1018.9,10,22,0,0
"82",0,0,0,0,0,1,1,0,0,0,0,0,0,2012,77,67.8,680,1012.2,8.7,999.9,0,0
"83",0,0,0,0,0,1,0,0,1,0,0,0,0,2012,66.3,60.6,547,1012.6,8.1,20,0.01,0
"84",0,0,0,0,0,1,0,0,1,0,0,0,0,2012,81.6,61.3,515,1014.6,9.9,22.9,0,0
"85",0,0,0,0,0,1,0,0,1,0,0,0,0,2012,75.3,69.6,598,1007.5,8.8,28.9,0,1
"86",0,0,0,0,0,1,0,0,1,0,0,0,0,2012,62.4,58.8,485,1013,7.6,21,0.37,1
"87",0,0,0,0,0,1,0,0,1,0,0,0,0,2012,67.2,54.1,557,1019.1,10,20,0.01,0
"88",0,0,0,0,0,1,0,0,0,1,0,0,0,2012,65.1,46.5,458,1018.9,10,20,0,0
"89",0,0,0,0,0,1,0,0,0,1,0,0,0,2012,60.5,52.5,449,1010,9.5,20,0.75,0
"90",0,0,0,0,0,1,0,0,0,1,0,0,0,2012,68.4,57.3,464,1009.6,9.5,21,0.04,0
"91",0,0,0,0,0,1,0,0,0,1,0,0,0,2012,63.8,50.3,480,1015.4,9,15.9,0.22,0
"92",0,0,0,0,0,1,0,0,0,1,0,0,0,2012,75.4,65.9,421,1017.7,9.8,999.9,0,0
"93",0,0,0,0,1,0,0,1,0,0,0,0,0,2012,49.9,42.9,376,1022.9,9,23.9,0.2,0
"94",0,0,0,0,1,0,0,1,0,0,0,0,0,2012,65.3,57.8,607,1009.5,9.4,26,0,0
"95",0,0,0,0,1,0,0,1,0,0,0,0,0,2012,60.6,46.8,555,1011.2,10,33,0.46,0
"96",0,0,0,0,1,0,0,1,0,0,0,0,0,2012,56.9,53.1,298,994,6.1,52.1,0.03,0
"97",0,0,0,0,1,0,0,1,0,0,0,0,0,2012,57.8,40.1,609,1017.4,10,26,0,0
"98",0,0,0,0,1,0,0,0,0,0,0,1,0,2012,53.8,48.5,570,1022.3,8.5,26,0.46,0
"99",0,0,0,0,1,0,0,0,0,0,0,1,0,2012,55.8,42.5,602,1007.4,9.9,25.1,0.12,0
"100",0,0,0,0,1,0,0,0,0,0,0,1,0,2012,59,44.9,522,1018.7,9.7,999.9,0,0
"101",0,0,0,0,1,0,0,0,0,0,0,1,0,2012,63.7,54.2,593,1015.5,7.3,999.9,0,0
"102",0,0,0,0,1,0,0,0,0,0,0,1,0,2012,53.9,48.9,372,989,8.1,46,1.97,0
"103",0,0,0,0,1,0,0,0,0,0,0,0,1,2012,65.6,64.3,502,1016.6,1.5,999.9,0.45,1
"104",0,0,0,0,1,0,0,0,0,0,0,0,1,2012,57.1,53.5,494,1019.9,6.4,999.9,0.07,0
"105",0,0,0,0,1,0,0,0,0,0,0,0,1,2012,49.7,43.2,549,999.6,8.6,17.1,0.06,0
"106",0,0,0,0,1,0,0,0,0,0,0,0,1,2012,58.2,53.8,640,1013.5,7.5,22.9,0.03,0
"107",0,0,0,0,1,0,0,0,0,0,0,0,1,2012,51.9,38,615,1014.3,10,999.9,0,0
"108",0,0,0,0,1,0,0,0,0,0,1,0,0,2012,53.4,35.3,657,1018.9,10,28.9,0.02,0
"109",0,0,0,0,1,0,0,0,0,0,1,0,0,2012,58,51.3,511,1023.9,10,999.9,0,0
"110",0,0,0,0,1,0,0,0,0,0,1,0,0,2012,68.6,66.2,554,1019,2.9,999.9,0.01,1
"111",0,0,0,0,1,0,0,0,0,0,1,0,0,2012,56.8,46.7,630,1016.1,9.7,15.9,0,0
"112",0,0,0,0,1,0,1,0,0,0,0,0,0,2012,63.2,61.1,738,1010.9,6.1,23.9,0.25,1
"113",0,0,0,0,1,0,1,0,0,0,0,0,0,2012,67.8,59.7,693,1016.7,8.4,999.9,0,0
"114",0,0,0,0,1,0,1,0,0,0,0,0,0,2012,60.8,53.4,598,1022.6,10,999.9,0,0
"115",0,0,0,0,1,0,1,0,0,0,0,0,0,2012,51.2,35.9,594,1021.1,10,25.1,0,0
"116",0,0,0,0,1,0,0,0,1,0,0,0,0,2012,61.9,53.9,524,1017,9.6,16.9,0,0
"117",0,0,0,0,1,0,0,0,1,0,0,0,0,2012,66.1,57.9,500,1010.5,7,21,0.01,1
"118",0,0,0,0,1,0,0,0,1,0,0,0,0,2012,45.2,25.9,547,1030.8,10,27,0,0
"119",0,0,0,0,1,0,0,0,1,0,0,0,0,2012,62.7,58.6,587,1006.5,5,22,0.13,1
"120",0,0,0,0,1,0,0,0,0,1,0,0,0,2012,56.5,39,426,1012.9,10,23.9,0,0
"121",0,0,0,0,1,0,0,0,0,1,0,0,0,2012,52.5,42.3,481,1017.4,9.3,23.9,0.04,0
"122",0,0,0,0,1,0,0,0,0,1,0,0,0,2012,57.7,50,403,1010.8,9.6,32.1,0,0
"123",0,0,0,0,1,0,0,0,0,1,0,0,0,2012,58.7,45.9,517,1021.9,10,26,0,0
"124",0,0,0,1,0,0,0,1,0,0,0,0,0,2012,42.3,27.3,479,1016.3,10,23.9,0,0
"125",0,0,0,1,0,0,0,1,0,0,0,0,0,2012,40.3,19.7,563,1017.3,10,23.9,0,0
"126",0,0,0,1,0,0,0,1,0,0,0,0,0,2012,56.7,50.2,547,1029.8,7.4,17.1,0,1
"127",0,0,0,1,0,0,0,1,0,0,0,0,0,2012,43,34.8,585,1032.3,10,22.9,0,0
"128",0,0,0,1,0,0,0,0,0,0,0,1,0,2012,44.4,32.8,671,1022.1,10,19,0,0
